,actions,rewards,salient_cues
0,0,0,0
1,1,1,0
2,1,1,0
3,1,0,0
4,0,0,0
5,0,1,1
6,0,0,0
7,0,0,0
8,0,0,0
9,1,0,0
10,1,0,0
11,0,0,0
12,0,0,0
13,1,1,1
14,1,0,0
15,1,0,0
16,0,1,1
17,0,0,0
18,0,1,0
19,0,0,0
20,0,0,0
21,1,0,0
22,1,0,0
23,0,0,0
24,1,0,0
25,1,0,0
26,0,0,0
27,0,1,1
28,0,0,0
29,0,1,1
30,1,1,1
31,1,1,0
32,1,0,0
33,0,0,0
34,1,1,1
35,1,0,0
36,1,0,0
37,0,1,0
38,0,1,0
39,0,0,0
40,0,1,1
41,0,1,0
42,0,1,0
43,0,1,0
44,0,1,1
45,0,1,0
46,0,1,0
47,0,0,0
48,0,1,0
49,0,0,0
50,0,0,0
51,0,1,1
52,0,0,0
53,0,1,0
54,0,0,0
55,0,1,1
56,0,0,0
57,1,0,0
58,0,1,0
59,0,0,0
60,0,0,0
61,0,0,0
62,1,0,0
63,1,0,0
64,0,1,1
65,0,0,0
66,0,0,0
67,1,0,0
68,1,0,0
69,1,0,0
70,0,0,0
71,1,0,0
72,0,1,1
73,0,1,1
74,0,1,1
75,0,1,0
76,0,1,0
77,0,1,0
78,0,0,0
79,0,0,0
80,1,0,0
81,0,1,1
82,0,1,0
83,0,1,0
84,0,1,1
85,0,1,0
86,0,0,0
87,1,0,0
88,0,1,0
89,0,1,1
90,0,1,0
91,0,1,0
92,0,0,0
93,0,1,0
94,0,1,1
95,0,1,0
96,0,1,0
97,0,1,0
98,0,0,0
99,0,1,1
100,0,0,0
101,1,1,0
102,1,0,0
103,1,1,0
104,1,1,1
105,1,0,0
106,0,1,0
107,0,0,0
108,0,1,0
109,0,0,0
110,0,1,1
111,0,0,0
112,0,0,0
113,0,0,0
114,1,0,0
115,1,1,1
116,1,1,0
117,1,1,0
118,1,1,0
119,1,0,0
120,0,0,0
121,0,0,0
122,1,1,1
123,0,0,0
124,0,1,1
125,0,0,0
126,1,1,0
127,1,1,0
128,1,1,0
129,1,1,1
130,1,1,0
131,1,1,0
132,1,1,0
133,1,1,0
134,1,1,1
135,1,0,0
136,1,1,0
137,1,1,0
138,1,0,0
139,1,1,1
140,1,1,0
141,1,1,0
142,1,0,0
143,0,0,0
144,1,0,0
145,0,0,0
146,1,0,0
147,0,1,1
148,0,0,0
