trial,mu_1,mu_2,payoff_1,payoff_2
1,0.5348813378285252,0.5195259176684321,1,1
2,0.5750662699958259,0.462447233773351,0,0
3,0.5844730304236282,0.4120174398686927,1,0
4,0.5595070273466355,0.3552397541511419,1,0
5,0.49794210234164293,0.37044997697278664,0,0
6,0.4357265612503708,0.4067937004162516,1,1
7,0.4599104961702631,0.5175052716684092,1,1
8,0.3330939498648241,0.621271920703381,0,1
9,0.33985765307174237,0.633002110217567,1,0
10,0.41525936868729985,0.543353842112282,0,1
11,0.5282400301327103,0.39110171753908635,1,1
12,0.5,0.5,1,1
13,0.5092713453600711,0.5043257572505513,1,1
14,0.4509585601843157,0.4730366598138993,1,0
15,0.5013062151057652,0.5371481723495469,1,0
16,0.40867014721418204,0.5842559356743571,1,1
17,0.3859474196172988,0.558270565755606,1,0
18,0.34148496361330416,0.5809593662082387,1,1
19,0.3792141157461653,0.5262224781859093,0,0
20,0.3534827721276915,0.5345239896224839,1,0
21,0.28083459452724374,0.5894144058995359,0,0
22,0.27159891700095723,0.6415899011268907,1,1
23,0.31834854393863554,0.6218888537107928,0,1
24,0.31108098786076316,0.6449727187852202,1,1
25,0.2639707355248876,0.686148655502714,0,1
26,0.5,0.5,0,0
27,0.5481561283375387,0.5531422401982021,1,1
28,0.41326368604930286,0.5770757634525463,1,0
29,0.47211566392008625,0.5165133115714599,1,0
30,0.5055622124740085,0.52173474161431,0,0
31,0.5460641582016869,0.45440414997961065,0,0
32,0.48586328050303257,0.4422177816419417,0,0
33,0.4460862113369808,0.38061501869850367,1,1
34,0.40579280948558527,0.46015170777658365,0,0
35,0.336335556397906,0.4570309201018562,0,0
36,0.4359087683407705,0.4239744124460604,0,0
37,0.42026446837812625,0.5067408197955519,0,0
38,0.5209661348696364,0.5038713402749775,1,0
39,0.49385258378861174,0.4839668794607267,0,0
40,0.5319801890187129,0.44944001213768625,1,1
41,0.6096344665860709,0.367383358986768,0,1
42,0.636810335890134,0.3649374952933355,0,0
43,0.5908318593967337,0.4266404448244752,1,1
44,0.5641783492570825,0.3961887967241874,0,0
45,0.5991902756329831,0.3289619150064006,0,1
46,0.6093164899544051,0.29374793777434827,0,0
47,0.5,0.5,1,0
48,0.3924184182743872,0.4495893249514368,0,0
49,0.32389181576604276,0.4694169481370565,1,1
50,0.31320145104312597,0.38583632169246607,0,1
51,0.33757549818212557,0.43588716283484874,0,0
52,0.28594452555021677,0.46272014751423446,0,1
53,0.30987138058589375,0.3715879831644567,0,0
54,0.27949875488129566,0.41717142166708626,0,0
55,0.27832908285008956,0.38832400981617254,0,0
56,0.22810252145498044,0.3438147113264506,1,0
57,0.10407337822970425,0.4244270043226129,0,1
58,0.04739674434901234,0.4770318172544466,1,1
59,0.5,0.5,0,1
60,0.5170054453768523,0.4996184219562679,1,1
61,0.40352791947338534,0.5997165060623293,0,0
62,0.4956480827491813,0.5803621744820702,1,1
63,0.4903366098474602,0.604041337959142,1,0
64,0.35219833296668435,0.6557430692806596,1,0
65,0.29174981447016896,0.6495858869035362,0,0
66,0.3177292458652312,0.714912606728606,0,1
67,0.26163201239198286,0.7355248212069935,0,0
68,0.22906877484775728,0.7051343522492493,1,1
69,0.22445124890680274,0.6269326026418782,0,1
70,0.3130478370089168,0.5121799753639925,0,0
71,0.363191120931699,0.5040021234456105,1,0
72,0.3295269673017263,0.5330521565186734,0,0
73,0.4119001429078111,0.5187060245781926,1,1
74,0.39469391356995537,0.4768037162135775,0,1
75,0.37414130216106445,0.5029661093130167,1,0
76,0.3440565629449989,0.4929805913552937,0,1
77,0.2047118744556924,0.5021464250477057,0,1
78,0.12496705734754056,0.5598254281547776,0,1
79,0.07094409014438414,0.5747986585580319,0,0
