mode,trial,choice,reaction_time,reward,condition,reward_prob_1,reward_prob_2,payoff_1,payoff_2
practice,1,1.0,1.8867960999996285,1,0,0.6048813378285252,0.5895259176684322,1,1
practice,2,1.0,1.175468199999159,0,0,0.6450662699958258,0.532447233773351,0,0
practice,3,0.0,0.827728099999149,0,0,0.6544730304236281,0.4820174398686927,0,1
practice,4,0.0,0.6075224000014714,1,0,0.6295070273466354,0.4252397541511419,1,0
practice,5,0.0,0.5035403999991104,0,0,0.5679421023416429,0.4404499769727866,0,1
practice,6,1.0,0.542870799999946,0,0,0.5057265612503707,0.4767937004162516,1,0
practice,7,1.0,0.5176377000007051,1,0,0.5299104961702631,0.5875052716684093,1,1
practice,8,1.0,1.1842008999992686,1,1,0.4030939498648241,0.6912719207033811,1,1
practice,9,1.0,0.8422891999998683,0,0,0.4098576530717423,0.703002110217567,0,0
practice,10,0.0,0.3516299999992043,0,0,0.4852593686872998,0.6133538421122819,0,0
practice,11,1.0,0.3728124000008392,0,0,0.5982400301327102,0.4611017175390863,1,0
practice,12,0.0,0.3185325000013108,1,0,0.5700000000000001,0.5700000000000001,1,0
practice,13,0.0,0.4654287000012118,0,0,0.5792713453600711,0.5743257572505513,0,1
practice,14,0.0,2.0581034000006184,1,0,0.5209585601843156,0.5430366598138994,1,1
practice,15,1.0,0.3641064000003098,1,1,0.5713062151057653,0.6071481723495469,1,1
main,1,1.0,2.0473993999985396,1,0,0.5555764354033338,0.507331683071509,0,1
main,2,1.0,0.5307064999997237,0,0,0.6173516061429684,0.4722098382621827,0,0
main,3,1.0,0.399593799998911,0,0,0.6998149658484075,0.4871891523306988,1,0
main,4,0.0,0.4866610999997647,1,1,0.6472512599993743,0.4905705231485084,1,0
main,5,0.0,1.8106892999985575,1,0,0.5705385380355457,0.3822294541142697,1,0
main,6,0.0,0.506187900000441,0,0,0.5336879423837548,0.3999344419974107,0,1
main,7,1.0,0.3921287999983178,0,0,0.6766626914996801,0.3494014769954491,0,0
main,8,0.0,0.4162453999997524,0,0,0.5746108049304197,0.3275104908367029,0,0
main,9,0.0,0.3254503999996814,1,0,0.5822844524130715,0.3477290484179657,1,0
main,10,0.0,0.5846511999989161,0,0,0.5277915985295425,0.3503677982391853,0,1
main,11,1.0,0.8973488999999972,0,0,0.6220985467078743,0.3741504047945457,1,0
main,12,1.0,0.4752740999992966,1,0,0.7071876562101755,0.315027381896704,1,1
main,13,1.0,0.522246599999562,0,0,0.6583194240295823,0.3100954705115482,1,0
main,14,0.0,0.4433217999994667,0,0,0.7150983687115405,0.2655892433604397,0,0
main,15,0.0,0.4732416999995621,0,0,0.7937841733878638,0.1978801497946095,0,0
main,16,1.0,0.4525859000004857,1,0,0.7620256379026874,0.2642680407866135,1,1
main,17,0.0,0.3741475000006176,1,1,0.817794370837621,0.2288164386578578,1,0
main,18,1.0,1.184616399999868,0,0,0.9435056276759936,0.1345313686941853,1,0
main,19,0.0,0.4481212999999115,1,0,0.8804253942700598,0.1261173766957216,1,0
main,20,1.0,0.3375276000006124,0,0,0.8814141990220901,0.1677151624540507,0,0
main,21,0.0,0.4713919000005262,1,0,0.9264750705152516,0.1962573691559996,1,0
main,22,0.0,0.358609200000501,1,1,0.762212792355211,0.2408279100045875,1,1
main,23,0.0,0.6133019000008062,1,0,0.8327418190820164,0.2423763153838119,1,0
main,24,0.0,0.3272909999996045,1,0,0.8757280101649098,0.2106531472887219,1,1
main,25,0.0,0.5080079999988811,0,0,0.9013925505170036,0.2878587655588414,0,0
main,26,1.0,0.8859381000002031,1,0,0.5,0.5,0,1
main,27,1.0,0.4365779999989172,0,0,0.4719828910840698,0.4796308032393948,0,0
main,28,1.0,0.3413459000003058,1,1,0.4513008603543974,0.5630810935544721,0,1
main,29,1.0,0.5252586999995401,1,0,0.3446729419908692,0.5792654836571692,1,1
main,30,1.0,0.3831942999986495,0,0,0.3374542895929637,0.5943212284460686,1,0
main,31,1.0,0.4814716000000771,0,0,0.367445229764992,0.5801782057063045,1,0
main,32,0.0,0.3927458999987721,0,0,0.4976712494722673,0.5824852181211599,0,1
main,33,1.0,0.443180600001142,1,0,0.3333593553523262,0.6235551808380343,1,1
main,34,1.0,0.3633012999998755,1,0,0.2416522829880249,0.6867467796027612,0,1
main,35,1.0,0.4226723000010679,1,1,0.1954548416503445,0.6610384576384785,1,1
main,36,1.0,0.3873806000010518,1,0,0.1806539590022541,0.6858922610894085,0,1
main,37,1.0,0.3739310000000841,0,0,0.2585910413996341,0.7125668466396822,1,0
main,38,1.0,0.3453764000005321,1,0,0.3034000469783592,0.719395712538573,1,1
main,39,1.0,0.3172491999994236,1,0,0.2774123151243411,0.7497367459912953,1,1
main,40,1.0,0.473438699998951,1,1,0.3203517709245289,0.7761823879455345,0,1
main,41,1.0,0.5763917999993282,1,0,0.2684777941551301,0.8809623695633028,0,1
main,42,1.0,0.4466109000004508,1,0,0.3346085059258523,0.8347006482472681,1,1
main,43,1.0,0.4304659000008541,1,0,0.2579254923539166,0.867215787680252,0,1
main,44,1.0,0.5400643999983004,1,1,0.4074136158677973,0.783146094047992,0,1
main,45,1.0,0.4278947000002517,1,0,0.425344217763901,0.8264381872117291,0,1
main,46,1.0,0.4006600000011531,1,0,0.4662876056950817,0.8227638375474596,1,1
main,47,1.0,0.4239226999998209,0,0,0.4699781861380498,0.8394255000366103,1,0
main,48,1.0,0.411298800001532,1,0,0.509206483141894,0.7911605989847486,1,1
main,49,1.0,0.5244999000005919,1,1,0.5184084219996459,0.7727685057692465,0,1
main,50,1.0,0.4039028999995935,1,0,0.5637427877650272,0.8211214224040462,0,1
main,51,1.0,0.5146098999994138,1,0,0.4766131231067463,0.8442721774128977,1,1
main,52,1.0,0.4784798000000592,1,0,0.5101631638151504,0.8759862592958275,0,1
main,53,1.0,0.4293302000005496,1,0,0.5373046120554245,0.9457038297930778,0,1
main,54,1.0,0.4812822000003507,1,0,0.5,0.5,1,1
main,55,1.0,0.4552201999995304,1,1,0.5812659852796718,0.4929527387281269,1,1
main,56,1.0,0.4324075999993511,0,0,0.5323700296768289,0.5178441520006767,1,0
main,57,1.0,0.4773244000007253,1,0,0.6332055734256198,0.5325423700274119,0,1
main,58,1.0,0.3793073999986518,0,0,0.616819735713173,0.5752950281078111,0,0
main,59,1.0,0.489258499999778,1,1,0.6207942107811124,0.5297002062549752,1,1
main,60,1.0,0.4814578000004985,0,0,0.6927991189348858,0.472623485360633,1,0
main,61,1.0,0.4762005000011413,0,0,0.6307779308277921,0.5408487902231341,1,0
main,62,1.0,0.6191622999995161,1,0,0.6010610165804272,0.5629538171812336,1,1
main,63,1.0,0.3835629000004701,1,0,0.5938628279305249,0.5485335256775808,1,1
main,64,1.0,0.4252329999999347,1,0,0.5174652674776103,0.5603057809526362,1,1
main,65,1.0,0.389829899999313,0,0,0.5903233635427309,0.4884582253153499,0,0
