trial,mu_1,mu_2,payoff_1,payoff_2
1,0.5,0.5,0.0,0.0
2,0.4556096101963374,0.48717416417650505,0.0,0.0
3,0.4607858790389544,0.4989599740504653,1.0,1.0
4,0.49752122088322165,0.5064235877398063,1.0,0.0
5,0.5804118065006014,0.5235023361986411,1.0,1.0
6,0.5538530623580917,0.5701354341774535,1.0,1.0
7,0.45726387607438607,0.5508034598202259,1.0,1.0
8,0.4650963394950888,0.5237323811269676,0.0,0.0
9,0.4616408533834361,0.5265898356366383,0.0,0.0
10,0.4835451656178302,0.49611320204507875,0.0,0.0
11,0.43299624760108824,0.5950954853803965,0.0,1.0
12,0.45213667498073784,0.6313871268694357,0.0,1.0
13,0.4483096563961471,0.6167335785628507,1.0,1.0
14,0.43167407349796916,0.62885870775909,0.0,1.0
15,0.44179281888489064,0.5429524114941491,1.0,1.0
16,0.4293955520206772,0.6082210090106634,0.0,0.0
17,0.4457599643867797,0.6502468291821374,0.0,1.0
18,0.5456293764278551,0.615499907541239,1.0,0.0
19,0.5285465220200861,0.6793984288023144,1.0,1.0
20,0.5451329053981376,0.6708214736860836,1.0,1.0
21,0.5959945168257909,0.6321330094884271,1.0,1.0
22,0.6660471619658349,0.5914984641557345,1.0,1.0
23,0.7786094763160474,0.6376134401180719,1.0,1.0
24,0.8092745983999018,0.6257222120480127,1.0,0.0
25,0.84015445564617,0.5776559004201212,1.0,1.0
26,0.8450475157973215,0.5804274170740448,1.0,1.0
27,0.8628016425719994,0.5703024477336339,1.0,0.0
28,0.8509500261993056,0.618011540739841,1.0,1.0
29,0.9551792079406385,0.6014423980108705,1.0,1.0
30,0.9163367178986562,0.545644149454133,1.0,1.0
31,0.8693357367788055,0.5805567427586061,1.0,1.0
32,0.8276922498037966,0.5718916516448761,1.0,1.0
33,0.8633187321638223,0.5710756523732314,1.0,0.0
34,0.8802542857560333,0.547432810789466,1.0,1.0
35,0.8887106220815383,0.5874117596276052,1.0,0.0
36,0.8704888167818103,0.5551093742569158,1.0,0.0
37,0.8646233608499302,0.4860136313736182,1.0,0.0
38,0.8308303401057351,0.45510877235406344,1.0,0.0
39,0.8199761702762792,0.4477863348817259,1.0,1.0
40,0.8990252202737585,0.3893077513872145,1.0,0.0
41,0.8494902371257641,0.38318588093720435,1.0,0.0
42,0.7643054188134475,0.35439617601028484,1.0,0.0
43,0.794444317366909,0.3239577734250866,1.0,0.0
44,0.8133669926472294,0.19260281003293242,1.0,0.0
45,0.7599569888900691,0.1517344577501911,1.0,0.0
46,0.8014623913684142,0.1519356416727306,1.0,0.0
47,0.7614107555728813,0.09087009554234624,1.0,0.0
48,0.6845410479257296,0.23455608345977802,1.0,0.0
49,0.7676700601550308,0.24443446461871218,1.0,0.0
50,0.775810641299448,0.2429146110508548,1.0,0.0
51,0.7479405568444807,0.23371265993824566,1.0,0.0
52,0.6402189501456743,0.17539425713777085,1.0,0.0
53,0.6229772030363624,0.16263141000265974,1.0,0.0
54,0.6333025124312744,0.15100343746110992,1.0,0.0
55,0.732675292614499,0.19031853557421702,1.0,0.0
56,0.6936144894297156,0.17307998936307817,1.0,0.0
57,0.682733092333247,0.2090570061373619,1.0,0.0
58,0.60968962520902,0.17142173476567288,1.0,0.0
59,0.6543722828775911,0.11417917006504144,1.0,0.0
60,0.6394563142869144,0.14761842536723677,1.0,0.0
61,0.6764332240644133,0.16223228093801523,1.0,0.0
62,0.6957918939155874,0.15863016129822063,1.0,0.0
63,0.7757904074818902,0.1691368387754132,1.0,0.0
64,0.7590125440522744,0.26950239350928373,1.0,0.0
65,0.747293683659592,0.26654825727317627,1.0,0.0
66,0.7615377490750217,0.2552655394731114,1.0,0.0
67,0.7878887410838418,0.25283874628710873,1.0,0.0
68,0.772373456206329,0.31376760771529544,1.0,0.0
69,0.7286058737232123,0.2978698258917956,1.0,0.0
70,0.7175160709525994,0.2799622051537806,1.0,0.0
71,0.7435244857550729,0.24123501936785152,1.0,0.0
72,0.7908525359534622,0.3631373635960479,1.0,0.0
73,0.8032575753096896,0.3894397981742064,1.0,0.0
74,0.8175366718618969,0.40285399066780053,1.0,0.0
75,0.8668283008286133,0.41341899885530153,1.0,0.0
76,0.9079424398601367,0.47477655679059816,1.0,0.0
77,0.8873751727655956,0.5248803092921718,1.0,0.0
78,0.8453509900062073,0.6024689139602472,1.0,1.0
79,0.8767526096084002,0.6388631250850574,1.0,1.0
80,0.8370547966118046,0.5750763499392545,1.0,1.0
81,0.8093088118855261,0.565034671897148,1.0,1.0
82,0.7557000503183159,0.5206742424967866,1.0,1.0
83,0.7152165246321057,0.5711284504443208,1.0,0.0
84,0.7380770642531317,0.5997119246415116,1.0,1.0
85,0.6767754038280409,0.5976566093692973,1.0,1.0
86,0.622270692274658,0.5564043937426735,1.0,1.0
87,0.5881562096457581,0.49285249756704663,1.0,0.0
88,0.621644067151034,0.4980194406222761,1.0,0.0
89,0.6226655991177139,0.5525888807301518,1.0,1.0
90,0.5916946646857155,0.5841515805836036,0.0,1.0
91,0.6140745691891253,0.5662120739865947,0.0,1.0
92,0.6598973410394968,0.6089406403127318,1.0,1.0
93,0.6250087494872698,0.5515374775135018,1.0,0.0
94,0.60250562130896,0.4061869429032404,1.0,0.0
95,0.5877067747243843,0.43198850120715554,1.0,0.0
96,0.46019562851520185,0.5161037675232898,0.0,0.0
97,0.4742517073309121,0.5269652390744579,0.0,0.0
98,0.4612359192693709,0.465857833909733,0.0,1.0
99,0.5582991421437701,0.5310695392924103,1.0,1.0
100,0.6116044045448535,0.5188160743525239,1.0,0.0
101,0.5846275997424152,0.5611869275996003,1.0,1.0
102,0.5762645838206584,0.463166376142219,0.0,1.0
