trial,mu_1,mu_2,payoff_1,payoff_2
1,0.47553178432135973,0.4509266028884375,0,0
2,0.5054999267552369,0.48300795333298124,0,1
3,0.5484168655625734,0.4953692864626975,0,0
4,0.5138953632712014,0.4914757230819879,1,1
5,0.47714942031777086,0.5054012987773926,0,1
6,0.5407400060744635,0.4509360921739587,1,0
7,0.5711619683763733,0.48922961004756105,0,0
8,0.5942592599353305,0.45268179826227434,0,0
9,0.588704329588577,0.43112639290638993,1,1
10,0.6046679744150509,0.356157000192603,1,0
11,0.6763586043314612,0.32381655060906744,0,0
12,0.6741928543898991,0.21299519116221177,1,0
13,0.6637276295845328,0.2843857172503776,1,0
14,0.659031739666596,0.2613228453568189,1,0
15,0.63458148804174,0.2869885414787158,1,1
16,0.6512167983434873,0.30054928545242254,1,0
17,0.7350696168735601,0.30020185542587513,1,0
18,0.7417813756641292,0.3185244670936563,0,1
19,0.7325754265776251,0.26571361886128175,1,1
20,0.7150808124222018,0.27473384170528037,0,1
21,0.7569294557491891,0.21716112398583734,1,0
22,0.778990290157611,0.20416460491893423,1,0
23,0.6994407663205847,0.23141910887317665,1,1
24,0.6110677875342878,0.2652127274749769,1,0
25,0.6337098664578381,0.24134051906242465,1,0
26,0.5641905345014395,0.2598710085690626,0,0
27,0.5,0.5,1,0
28,0.4656504237423942,0.46819488469261306,0,0
29,0.5278942792300511,0.4281705589684786,1,0
30,0.4813039340402744,0.49185060276492026,0,1
31,0.5442378985811467,0.47533563908164467,0,0
32,0.4814950047711323,0.4788572621887261,0,0
33,0.5170275884183017,0.43648957239645847,1,0
34,0.5168890631590077,0.460340848357289,1,1
35,0.47794889759970605,0.49007499713270475,0,1
36,0.5269714907655552,0.5284738123762849,0,0
37,0.4556469051119399,0.5366603136392735,1,0
38,0.4604220221369131,0.593829758194263,1,0
39,0.5053878910575466,0.5783432201548245,1,1
40,0.4078943600693726,0.6770019730814607,1,1
41,0.3584416474424751,0.6840943316280956,0,1
42,0.2717714342291603,0.7392594019769732,0,1
43,0.1793419043226647,0.7631862140858399,1,1
44,0.1872716718966036,0.7988354651730646,0,1
45,0.16098466821961888,0.8031254122500147,0,1
46,0.15709728317191368,0.830626932622768,0,1
47,0.18836886568047606,0.777497006969394,0,0
48,0.18873771999708636,0.7243848450485448,1,1
49,0.1164398240527289,0.7486071697827342,0,1
50,0.18459088738592866,0.7487441232985077,1,1
51,0.16474097775232355,0.7544655987001105,0,1
52,0.1584253154465048,0.699435569800992,0,1
53,0.1453179429141394,0.76960488565639,0,1
54,0.5,0.5,0,0
55,0.45832915978869615,0.5265136863339414,1,1
56,0.482521519719217,0.5028611995864569,0,1
57,0.5355211560462486,0.47410993683211283,0,1
58,0.5733617187277181,0.4268714113333384,1,0
59,0.5324314947203028,0.4351938095834909,1,1
60,0.5072635960622346,0.41947834887508173,1,0
61,0.5753483769015244,0.40640994533399677,1,0
62,0.5846696245683861,0.4098606899191747,1,0
63,0.5297338274234394,0.42316667663031,0,1
64,0.5167727849760316,0.3510422563007628,0,0
65,0.47883635243830974,0.3407817592847566,1,1
66,0.511431690350436,0.2963961156382902,0,0
