trial,mu_1,mu_2,payoff_1,payoff_2
1,0.5555764354033338,0.507331683071509,0,1
2,0.6173516061429684,0.47220983826218277,0,0
3,0.6998149658484075,0.48718915233069887,1,0
4,0.6472512599993743,0.49057052314850846,1,0
5,0.5705385380355457,0.3822294541142697,1,0
6,0.5336879423837548,0.3999344419974107,0,1
7,0.6766626914996801,0.34940147699544916,0,0
8,0.5746108049304197,0.3275104908367029,0,0
9,0.5822844524130715,0.3477290484179657,1,0
10,0.5277915985295425,0.35036779823918535,0,1
11,0.6220985467078743,0.37415040479454575,1,0
12,0.7071876562101755,0.315027381896704,1,1
13,0.6583194240295823,0.3100954705115482,1,0
14,0.7150983687115405,0.2655892433604397,0,0
15,0.7937841733878638,0.19788014979460955,0,0
16,0.7620256379026874,0.26426804078661353,1,1
17,0.817794370837621,0.22881643865785783,1,0
18,0.9435056276759937,0.13453136869418536,1,0
19,0.8804253942700598,0.12611737669572165,1,0
20,0.8814141990220901,0.16771516245405077,0,0
21,0.9264750705152515,0.19625736915599962,1,0
22,0.762212792355211,0.24082791000458753,1,1
23,0.8327418190820164,0.24237631538381196,1,0
24,0.8757280101649098,0.21065314728872198,1,1
25,0.9013925505170035,0.28785876555884143,0,0
26,0.5,0.5,0,1
27,0.4719828910840698,0.4796308032393948,0,0
28,0.4513008603543974,0.5630810935544721,0,1
29,0.3446729419908692,0.5792654836571692,1,1
30,0.33745428959296375,0.5943212284460686,1,0
31,0.36744522976499205,0.5801782057063045,1,0
32,0.4976712494722673,0.5824852181211599,0,1
33,0.33335935535232625,0.6235551808380343,1,1
34,0.24165228298802494,0.6867467796027612,0,1
35,0.1954548416503445,0.6610384576384785,1,1
36,0.18065395900225417,0.6858922610894085,0,1
37,0.2585910413996341,0.7125668466396822,1,0
38,0.30340004697835926,0.719395712538573,1,1
39,0.2774123151243411,0.7497367459912953,1,1
40,0.3203517709245289,0.7761823879455345,0,1
41,0.2684777941551301,0.8809623695633028,0,1
42,0.33460850592585234,0.8347006482472681,1,1
43,0.25792549235391665,0.867215787680252,0,1
44,0.40741361586779734,0.783146094047992,0,1
45,0.425344217763901,0.8264381872117291,0,1
46,0.46628760569508176,0.8227638375474596,1,1
47,0.46997818613804987,0.8394255000366103,1,0
48,0.509206483141894,0.7911605989847486,1,1
49,0.5184084219996459,0.7727685057692465,0,1
50,0.5637427877650272,0.8211214224040462,0,1
51,0.4766131231067463,0.8442721774128977,1,1
52,0.5101631638151504,0.8759862592958275,0,1
53,0.5373046120554245,0.9457038297930778,0,1
54,0.5,0.5,1,1
55,0.5812659852796718,0.49295273872812695,1,1
56,0.5323700296768289,0.5178441520006767,1,0
57,0.6332055734256198,0.5325423700274119,0,1
58,0.616819735713173,0.5752950281078111,0,0
59,0.6207942107811124,0.5297002062549752,1,1
60,0.6927991189348858,0.47262348536063303,1,0
61,0.6307779308277921,0.5408487902231341,1,0
62,0.6010610165804272,0.5629538171812336,1,1
63,0.5938628279305249,0.5485335256775808,1,1
64,0.5174652674776103,0.5603057809526362,1,1
65,0.5903233635427309,0.48845822531534994,0,0
66,0.5926870653689377,0.3838791838029327,0,0
67,0.5892403132436296,0.3817475076191324,1,0
68,0.7275026864529266,0.32430669271272733,1,0
69,0.7980980413424485,0.35419150507901737,0,1
70,0.7695153346217791,0.38350545847125506,1,0
71,0.6653645361105918,0.41281717786735417,0,1
72,0.6073661955115576,0.43103987207444266,1,1
73,0.5942397913883076,0.48323807873710306,1,0
74,0.5896869148914189,0.5257662349966389,0,0
75,0.6425778142776175,0.4396669464203798,1,0
76,0.7300274674782545,0.3957087910043121,1,1
77,0.7186550196140093,0.424261688642449,0,0
78,0.7305718026908747,0.4321459256890917,1,0
79,0.7370942615817434,0.43076765824959073,0,1
80,0.5,0.5,0,0
81,0.5132840524848181,0.5293818934658765,1,0
82,0.46423772133789654,0.49611021464874705,0,1
83,0.5602326971661055,0.4573340755356077,1,0
84,0.5116863524921631,0.5780463466624218,1,0
85,0.40471223327705286,0.5790790009340349,0,0
86,0.3694809299222456,0.5862831269214344,0,1
87,0.3225037940037636,0.6022945459428005,1,0
88,0.13426880906260344,0.6866723600221399,0,0
89,0.15550657333287576,0.7546355228545348,0,1
90,0.2830480646641918,0.7914573803464442,0,0
91,0.19317586964517028,0.787845018926644,0,1
92,0.07535017943144602,0.8234143372266621,0,0
93,0.1354693859408531,0.7998908614819095,0,1
94,0.21797564487559282,0.7420740771042619,0,1
95,0.22323686803137532,0.6394762355012212,1,1
96,0.19093168237635566,0.6701191461881759,1,1
97,0.16479569764426497,0.7135014852262302,0,0
98,0.058794191836661236,0.739150293757189,0,1
99,0.08463860550566246,0.7304036205133201,0,1
100,0.0958368123128416,0.7216852778566158,0,0
101,0.05383220243314803,0.7867221324940191,1,1
102,0.0,0.7611026850077649,0,1
103,0.0,0.7766939332735237,0,1
104,0.0,0.8195643681910253,0,1
105,0.0,0.8102677501833043,0,1
106,0.0,0.8203399134579676,0,1
107,0.016967519911435962,0.786492443657461,0,1
108,0.08472074552884397,0.7365774614649012,0,0
109,0.14727928418276925,0.7634197353938306,0,1
110,0.27661325469923337,0.6952382846748204,1,0
111,0.3348625009998416,0.7002650906230729,1,1
112,0.3408510402225987,0.802727392986362,1,1
113,0.33109235260912845,0.8279283283650187,1,1
114,0.3195668895291143,0.8467243158131751,0,1
115,0.3036410509551409,0.8318441266317846,0,1
116,0.2846728085272939,0.759483115493039,0,1
117,0.5,0.5,0,1
118,0.40507754621332337,0.5103002713083264,0,1
119,0.39777882290483235,0.4866453196994396,0,0
120,0.4402277287353381,0.47609524518285556,1,0
121,0.5604660542577968,0.4564459844030292,0,1
122,0.706278861372574,0.43299001497605544,0,0
123,0.775883980754819,0.37127124175343,1,1
124,0.7381789988085607,0.43739158324802146,0,1
125,0.8156192203723618,0.4410317621720444,0,1
126,0.7691735397146365,0.48319048325765984,0,1
127,0.8168713609966983,0.4418172019739201,1,1
128,0.777819424053782,0.4447617738992518,1,0
129,0.7962828457389952,0.5065363777220219,1,1
130,0.7596400915526681,0.48189620328285676,0,1
131,0.7424399300012682,0.5156737339489454,1,1
132,0.7991952762845126,0.47630114581980654,1,0
133,0.8334587465262288,0.45340839189315696,0,0
134,0.8023429610740139,0.41204439822030614,1,0
135,0.7304231152320987,0.40001407532261674,1,0
136,0.5,0.5,1,0
137,0.5632269661580044,0.4582072367472519,1,1
138,0.5397618659074201,0.47271430842132667,1,1
139,0.5883167931630358,0.42462227504420375,1,0
140,0.6357700369182794,0.3722268587558095,1,0
141,0.7016731179032693,0.2883669358680485,1,1
142,0.7861997667887348,0.29240024812994164,1,0
143,0.8015589141339458,0.2780680537050812,1,0
